Softwarename	Publisher	LatUpdate	PCname
Microsoft Analysis Services OLE DB Provider	Microsoft Corporation	21/11/2018	THUYLINH443
Microsoft Application Error Reporting	Microsoft Corporation	21/11/2018	LEARN200
Microsoft ASP.NET 2.0 AJAX Extensions 1.0	Microsoft Corporation	21/11/2018	LEARN200
Microsoft ASP.NET Core 2.1.4 Shared Framework (x64)	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft ASP.NET Core Module for IIS Express	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft ASP.NET MVC 3	Microsoft Corporation	21/11/2018	LEARN263
Microsoft ASP.NET MVC 4 Runtime	Microsoft Corporation	21/11/2018	LEARN263
Microsoft ASP.NET Web Pages	Microsoft Corporation	21/11/2018	LEARN263
Microsoft Azure Authoring Tools - v2.9.5.3	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Azure Compute Emulator - v2.9.5.3	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Azure Libraries for .NET - v2.9	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Build Tools 14.0 (amd64)	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Build Tools 14.0 (x86)	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Build Tools Language Resources 14.0 (amd64)	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Build Tools Language Resources 14.0 (x86)	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Help Viewer 2.0	Microsoft Corporation	21/11/2018	LEARN263
Microsoft Help Viewer 2.2	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft NetStandard SDK	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft ODBC Driver 13 for SQL Server	Microsoft Corporation	23/11/2018	LEARN-APP204
Microsoft Office 2003 Web Components	Microsoft Corporation	21/11/2018	LEARN212
Microsoft Portable Library Multi-Targeting Pack	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Portable Library Multi-Targeting Pack Language Pack - enu	Microsoft Corporation	20/11/2018	THUYLINH443
Microsoft Report Viewer 2012 Runtime	Microsoft Corporation	20/11/2018	SRVDB52
Microsoft Report Viewer 2014 Runtime	Microsoft Corporation	21/11/2018	LEARN212
Microsoft Silverlight 4 SDK	Microsoft Corporation	21/11/2018	LEARN263
Microsoft Silverlight 5 SDK	Microsoft Corporation	21/11/2018	LEARN263
Microsoft SQL Server 2008 Books Online (English)	Microsoft Corporation	21/11/2018	LEARN212
Microsoft SQL Server 2008 Policies	Microsoft Corporation	21/11/2018	LEARN212
