Softwarename	Publisher	LatUpdate	PCname
VEventDensity	Vigilant Solutions	21/11/2018	LEARN202
VGetDataFromDRN	Vigilant Solutions	21/11/2018	LEARN202
VGetReaperHealthStatus	Vigilant Solutions	21/11/2018	LEARN202
VHitListDispositionUpdate	Vigilant Solutions	21/11/2018	LEARN202
Vigilant Fixed LPR	Vigilant Solutions	21/11/2018	THUYLINH210
Vigilant Mobile LPR	Vigilant Solutions	21/11/2018	THUYLINH443
VIndustryMetricDataUpdate	Vigilant Solutions	21/11/2018	LEARN202
Visual Studio 2015 Prerequisites	Microsoft Corporation	23/11/2018	LEARN-APP204
Visual Studio 2015 Prerequisites - ENU Language Pack	Microsoft Corporation	23/11/2018	LEARN-APP204
Visual Studio Community 2017	Microsoft Corporation	20/11/2018	THUYLINH443
VLEADataTransfer	Vigilant Solutions	21/11/2018	LEARN202
VLearnMonitor	Vigilant Solutions	21/11/2018	LEARN202
VLPRUpdateAgencyToLMS	Vigilant Solutions	21/11/2018	LEARN202
VNVLSHotlistLoad	Vigilant Video\Service	21/11/2018	LEARN212
VPMWHotList	VigilantSolutions.com	21/11/2018	LEARN202
VQuickSearchOfflineReportService	Vigilant Solutions	21/11/2018	LEARN202
VReaperSendMail	vigilantsolutions	21/11/2018	LEARN200
VReaperUpload	vigilantsolutions	21/11/2018	LEARN200
VRemoteWhiteList	Vigilant Solutions	21/11/2018	LEARN202
VS JIT Debugger	Microsoft Corporation	23/11/2018	LEARN-APP204
VS Script Debugging Common	Microsoft Corporation	23/11/2018	LEARN-APP204
VS WCF Debugging	Microsoft Corporation	23/11/2018	LEARN-APP204
vs_clickoncebootstrappermsi	Microsoft Corporation	20/11/2018	THUYLINH443
vs_clickoncebootstrappermsires	Microsoft Corporation	20/11/2018	THUYLINH443
vs_clickoncesigntoolmsi	Microsoft Corporation	20/11/2018	THUYLINH443
vs_communitymsi	Microsoft Corporation	20/11/2018	THUYLINH443
vs_communitymsires	Microsoft Corporation	20/11/2018	THUYLINH443
vs_devenvmsi	Microsoft Corporation	20/11/2018	THUYLINH443
vs_filehandler_amd64	Microsoft Corporation	20/11/2018	THUYLINH443
vs_filehandler_x86	Microsoft Corporation	20/11/2018	THUYLINH443
vs_FileTracker_Singleton	Microsoft Corporation	20/11/2018	THUYLINH443
vs_minshellinteropmsi	Microsoft Corporation	20/11/2018	THUYLINH443
vs_minshellmsi	Microsoft Corporation	20/11/2018	THUYLINH443
vs_minshellmsires	Microsoft Corporation	20/11/2018	THUYLINH443
vs_SQLClickOnceBootstrappermsi	Microsoft Corporation	20/11/2018	THUYLINH443
vs_tipsmsi	Microsoft Corporation	20/11/2018	THUYLINH443
VSearchHitlistPE	Vigilant Solutions	21/11/2018	LEARN202
VSendMailExpireModuleLMS	Vigilant Solutions	21/11/2018	LEARN202
VSendMailPE	Vigilant Solutions	20/11/2018	SRVDB52
VSendNotice	Vigilant Solutions	21/11/2018	LEARN202
VUploadEvent1	Vigilant Solutions	21/11/2018	LEARN202
VUploadEvent2	Vigilant Solutions	21/11/2018	LEARN202
VUploadEvent3	Vigilant Solutions	21/11/2018	LEARN202
VUploadEvent4	Vigilant Solutions	21/11/2018	LEARN202
VUploadEvent5	Vigilant Solutions	21/11/2018	LEARN202
VVManage	Vigilant Solutions	21/11/2018	LEARN200
WCF RIA Services V1.0 SP2	Microsoft Corporation	21/11/2018	LEARN263
Winpower		21/11/2018	LEARN200
